GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
kaiheisen-app-bff-livalit-v1,jp.co.tokyo_gas.kaiheisen.apps.bff.livalit.v1.post_closing,PostClosingService,103,1071,20,54,29,272,19,56,0,34
kaiheisen-app-bff-livalit-v1,jp.co.tokyo_gas.kaiheisen.apps.bff.livalit.v1.post_closing,PostClosingResource,22,160,6,26,4,24,6,17,0,7
kaiheisen-app-bff-livalit-v1,jp.co.tokyo_gas.kaiheisen.apps.bff.livalit.v1.core.response,BffResponseValueNormalizer,3,43,0,12,1,8,1,12,1,6
kaiheisen-app-bff-livalit-v1,jp.co.tokyo_gas.kaiheisen.apps.bff.livalit.v1.core.config,BffStartupWarmupContributor,9,31,0,0,3,6,3,2,3,2
kaiheisen-app-bff-livalit-v1,jp.co.tokyo_gas.kaiheisen.apps.bff.livalit.v1.core.config,BffLibsConfiguration,79,6,0,0,11,2,10,2,10,2
kaiheisen-app-bff-livalit-v1,jp.co.tokyo_gas.kaiheisen.apps.bff.livalit.v1.core.filter,BffRequestLoggingFilter,0,5,0,0,0,2,0,1,0,1
kaiheisen-app-bff-livalit-v1,jp.co.tokyo_gas.kaiheisen.apps.bff.livalit.v1.get_opening_sample,GetOpeningSampleResource,12,176,3,11,3,41,4,12,1,8
kaiheisen-app-bff-livalit-v1,jp.co.tokyo_gas.kaiheisen.apps.bff.livalit.v1.post_opening,PostOpeningResource,46,229,15,23,9,52,15,19,2,13
kaiheisen-app-bff-livalit-v1,jp.co.tokyo_gas.kaiheisen.apps.bff.livalit.v1.post_opening,PostOpeningService.WorkHistoryBusinessDetailCodes,0,9,0,0,0,1,0,1,0,1
kaiheisen-app-bff-livalit-v1,jp.co.tokyo_gas.kaiheisen.apps.bff.livalit.v1.post_opening,PostOpeningService,402,1657,29,53,87,442,28,57,5,39
kaiheisen-app-bff-livalit-v1,jp.co.tokyo_gas.kaiheisen.apps.bff.livalit.v1.core.resource.exception_mapper,InvalidRequestParameterExceptionMapper,2,22,1,1,0,7,1,2,0,2
kaiheisen-app-bff-livalit-v1,jp.co.tokyo_gas.kaiheisen.apps.bff.livalit.v1.core.resource.exception_mapper,BadRequestExceptionMapper,2,22,1,1,0,8,1,2,0,2
kaiheisen-app-bff-livalit-v1,jp.co.tokyo_gas.kaiheisen.apps.bff.livalit.v1.core.resource.exception_mapper,KaiheisenExceptionMapper,0,15,0,0,0,6,0,2,0,2
kaiheisen-app-bff-livalit-v1,jp.co.tokyo_gas.kaiheisen.apps.bff.livalit.v1.core.resource.exception_mapper,BffPassthroughMaApiException,26,156,6,28,11,45,5,22,1,9
kaiheisen-app-bff-livalit-v1,jp.co.tokyo_gas.kaiheisen.apps.bff.livalit.v1.core.resource.exception_mapper,BffPassthroughMaApiExceptionMapper,0,56,1,3,0,15,1,6,0,5
kaiheisen-app-bff-livalit-v1,jp.co.tokyo_gas.kaiheisen.apps.bff.livalit.v1.core.resource.exception_mapper,UnhandledExceptionMapper,28,100,5,7,6,26,5,5,1,3
kaiheisen-app-bff-livalit-v1,jp.co.tokyo_gas.kaiheisen.apps.bff.livalit.v1.core.resource.exception_mapper,ConstraintViolationExceptionMapper,10,30,1,1,0,10,2,2,1,2
kaiheisen-app-bff-livalit-v1,jp.co.tokyo_gas.kaiheisen.apps.bff.livalit.v1.core.resource.exception_mapper,ValidationExceptionMapper,0,14,0,0,0,6,0,2,0,2
kaiheisen-app-bff-livalit-v1,jp.co.tokyo_gas.kaiheisen.apps.bff.livalit.v1.core.resource.exception_mapper,BffErrorResponseResolver,29,290,13,41,5,78,12,27,0,12
kaiheisen-app-bff-livalit-v1,jp.co.tokyo_gas.kaiheisen.apps.bff.livalit.v1.core.resource,BaseResource,46,471,12,34,18,128,11,34,0,22
kaiheisen-app-bff-livalit-v1,jp.co.tokyo_gas.kaiheisen.apps.bff.livalit.v1.core.resource,InterFieldValidation,0,4,0,0,0,1,0,2,0,2
kaiheisen-app-bff-livalit-v1,jp.co.tokyo_gas.kaiheisen.apps.bff.livalit.v1.get_closing,GetClosingService,51,810,19,41,16,224,19,45,0,34
kaiheisen-app-bff-livalit-v1,jp.co.tokyo_gas.kaiheisen.apps.bff.livalit.v1.get_closing,GetClosingResource,0,57,0,6,0,10,0,9,0,6
kaiheisen-app-bff-livalit-v1,jp.co.tokyo_gas.kaiheisen.apps.bff.livalit.v1.cancel_closing,CancelClosingService,33,368,5,15,11,102,5,20,0,15
kaiheisen-app-bff-livalit-v1,jp.co.tokyo_gas.kaiheisen.apps.bff.livalit.v1.cancel_closing,CancelClosingResource,9,46,1,1,2,13,1,5,0,5
kaiheisen-app-bff-livalit-v1,jp.co.tokyo_gas.kaiheisen.apps.bff.livalit.v1.get_opening,GetOpeningResource,12,680,3,19,2,200,3,20,0,12
