GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
kaiheisen-app-ma-pod-cancel,jp.co.tokyo_gas.kaiheisen.apps.ma.v1.pod_cancel.retail.retail_common,SamedayReportCancelUpdateOpeningErrorFollowCancelResource,27,273,6,10,11,93,6,15,1,12
kaiheisen-app-ma-pod-cancel,jp.co.tokyo_gas.kaiheisen.apps.ma.v1.pod_cancel.retail.retail_common,SamedayReportCancelUpdateClosingReportCancelResource,1,186,3,7,1,52,3,12,0,10
kaiheisen-app-ma-pod-cancel,jp.co.tokyo_gas.kaiheisen.apps.ma.v1.pod_cancel.retail.retail_common,SamedayReportCancelUpdateOpeningReportCancelResource,4,210,3,9,2,67,3,16,0,13
kaiheisen-app-ma-pod-cancel,jp.co.tokyo_gas.kaiheisen.apps.ma.v1.pod_cancel.retail.retail_common,SamedayReportCancelUpdateClosingErrorFollowCancelResource,10,263,3,9,4,76,4,13,1,10
kaiheisen-app-ma-pod-cancel,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_cancel.retail.retail_other,SamedayReportCancelTargetGetOpeningOtherRetailResponse.ContractCustomerInfo,0,30,0,0,0,1,0,1,0,1
kaiheisen-app-ma-pod-cancel,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_cancel.retail.retail_other,SamedayReportCancelTargetGetOpeningOtherRetailResponse,0,39,0,0,0,1,0,1,0,1
kaiheisen-app-ma-pod-cancel,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_cancel.retail.retail_other,SamedayReportCancelTargetGetClosingOtherRetailRequest,0,18,0,0,0,1,0,1,0,1
kaiheisen-app-ma-pod-cancel,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_cancel.retail.retail_other,ClosingCancelClosingErrorFollowCancelOtherRetailResponse,0,15,0,0,0,1,0,1,0,1
kaiheisen-app-ma-pod-cancel,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_cancel.retail.retail_other,SamedayReportCancelTargetGetClosingOtherRetailResponse.ContractCustomerInfo,0,30,0,0,0,1,0,1,0,1
kaiheisen-app-ma-pod-cancel,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_cancel.retail.retail_other,SamedayReportCancelTargetGetClosingOtherRetailResponse.GasMeterLocationInfo,0,15,0,0,0,1,0,1,0,1
