GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
kaiheisen-app-ma-pod-error-follow,jp.co.tokyo_gas.kaiheisen.apps.ma.v1.pod_error_follow.retail.retail_other.closing_error_unnecessary_register_other_retail,ClosingErrorUnnecessaryRegisterOtherRetailResource,0,340,0,6,0,67,0,10,0,7
kaiheisen-app-ma-pod-error-follow,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_error_follow.common.retail_common.closing_error_follow_detail_get.model,HseflInfoResponse,0,48,0,0,0,1,0,1,0,1
kaiheisen-app-ma-pod-error-follow,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_error_follow.common.retail_common.closing_error_follow_detail_get.model,GmtsetdInfoResponse,0,39,0,0,0,1,0,1,0,1
kaiheisen-app-ma-pod-error-follow,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_error_follow.common.retail_common.closing_error_follow_detail_get.model,MtrgrpdInfoResponse,0,6,0,0,0,1,0,1,0,1
kaiheisen-app-ma-pod-error-follow,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_error_follow.common.retail_common.closing_error_follow_detail_get.model,GmtInfoResponse,0,9,0,0,0,1,0,1,0,1
kaiheisen-app-ma-pod-error-follow,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_error_follow.common.retail_common.closing_error_follow_detail_get.model,KnsKkaInfoResponse,0,12,0,0,0,1,0,1,0,1
kaiheisen-app-ma-pod-error-follow,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_error_follow.common.retail_common.closing_error_follow_detail_get.model,TatemonInfoResponse,0,9,0,0,0,1,0,1,0,1
kaiheisen-app-ma-pod-error-follow,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_error_follow.common.retail_common.closing_error_follow_detail_get.model,KiycstInfoResponse,0,42,0,0,0,1,0,1,0,1
kaiheisen-app-ma-pod-error-follow,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_error_follow.retail.retail_tg.opening_error_follow_unnecessary_tg_retail,OpeningErrorFollowUnnecessaryTgRetailRequest,0,30,0,0,0,1,0,1,0,1
kaiheisen-app-ma-pod-error-follow,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_error_follow.retail.retail_tg.opening_error_follow_unnecessary_tg_retail,OpeningErrorFollowUnnecessaryTgRetailResponse,0,6,0,0,0,1,0,1,0,1
kaiheisen-app-ma-pod-error-follow,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_error_follow.retail.retail_tg.opening_error_follow_unnecessary_tg_retail,OpeningErrorFollowUnnecessaryTgRetailEndpointContract,15,0,0,0,6,0,6,0,6,0
kaiheisen-app-ma-pod-error-follow,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_error_follow.common.retail_common.closing_error_follow_list_get.model,HseflIrResponse,0,39,0,0,0,1,0,1,0,1
kaiheisen-app-ma-pod-error-follow,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_error_follow.common.retail_common.closing_register,ClosingRegisterEndpointContract,15,0,0,0,6,0,6,0,6,0
kaiheisen-app-ma-pod-error-follow,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_error_follow.common.retail_common.closing_register,ClosingRegisterRequest,0,33,0,0,0,1,0,1,0,1
kaiheisen-app-ma-pod-error-follow,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_error_follow.common.retail_common.closing_register,ClosingRegisterResponse,0,27,0,0,0,1,0,1,0,1
kaiheisen-app-ma-pod-error-follow,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_error_follow.common.retail_other.opening_error_follow_display_get_other_retail.model,GmtInfoResponse,0,6,0,0,0,1,0,1,0,1
kaiheisen-app-ma-pod-error-follow,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_error_follow.common.retail_other.opening_error_follow_display_get_other_retail.model,TkssvkyInfoResponse,0,9,0,0,0,1,0,1,0,1
kaiheisen-app-ma-pod-error-follow,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_error_follow.common.retail_other.opening_error_follow_display_get_other_retail.model,MtrgrpdInfoResponse,0,6,0,0,0,1,0,1,0,1
kaiheisen-app-ma-pod-error-follow,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_error_follow.common.retail_other.opening_error_follow_display_get_other_retail.model,KnsKkaInfoResponse,0,12,0,0,0,1,0,1,0,1
kaiheisen-app-ma-pod-error-follow,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_error_follow.common.retail_other.opening_error_follow_display_get_other_retail.model,TatemonInfoResponse,0,15,0,0,0,1,0,1,0,1
kaiheisen-app-ma-pod-error-follow,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_error_follow.common.retail_other.opening_error_follow_display_get_other_retail.model,KkytskrInfoResponse,0,6,0,0,0,1,0,1,0,1
kaiheisen-app-ma-pod-error-follow,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_error_follow.common.retail_other.opening_error_follow_display_get_other_retail.model,GmtsetdInfoResponse,0,63,0,0,0,1,0,1,0,1
kaiheisen-app-ma-pod-error-follow,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_error_follow.common.retail_other.opening_error_follow_display_get_other_retail.model,KiycstInfoResponse,0,15,0,0,0,1,0,1,0,1
kaiheisen-app-ma-pod-error-follow,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_error_follow.common.retail_other.opening_error_follow_display_get_other_retail.model,SvckyaInfoResponse,0,9,0,0,0,1,0,1,0,1
kaiheisen-app-ma-pod-error-follow,jp.co.tokyo_gas.kaiheisen.apps.ma.v1.pod_error_follow.config,PodErrorFollowStartupWarmupContributor,28,0,0,0,9,0,5,0,5,0
kaiheisen-app-ma-pod-error-follow,jp.co.tokyo_gas.kaiheisen.apps.ma.v1.pod_error_follow.config,PodErrorFollowLibsConfiguration,9,0,0,0,3,0,3,0,3,0
kaiheisen-app-ma-pod-error-follow,jp.co.tokyo_gas.kaiheisen.apps.ma.v1.pod_error_follow.config,PodErrorFollowSvConfiguration,458,0,0,0,46,0,46,0,46,0
kaiheisen-app-ma-pod-error-follow,jp.co.tokyo_gas.kaiheisen.apps.ma.v1.pod_error_follow.config,PodErrorFollowDaConfiguration,434,0,0,0,53,0,49,0,49,0
kaiheisen-app-ma-pod-error-follow,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_error_follow.common.retail_none.opening_error_follow_display_get_no_opening.model,TkssvkyInfoResponse,9,0,0,0,1,0,1,0,1,0
kaiheisen-app-ma-pod-error-follow,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_error_follow.common.retail_none.opening_error_follow_display_get_no_opening.model,TkssvkyInfoRequest,15,0,0,0,1,0,1,0,1,0
kaiheisen-app-ma-pod-error-follow,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_error_follow.common.retail_none.opening_error_follow_display_get_no_opening.model,KnsKkaInfoResponse,12,0,0,0,1,0,1,0,1,0
kaiheisen-app-ma-pod-error-follow,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_error_follow.common.retail_none.opening_error_follow_display_get_no_opening.model,MtrgrpdInfoResponse,6,0,0,0,1,0,1,0,1,0
kaiheisen-app-ma-pod-error-follow,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_error_follow.common.retail_none.opening_error_follow_display_get_no_opening.model,GmtsetdInfoResponse,63,0,0,0,1,0,1,0,1,0
kaiheisen-app-ma-pod-error-follow,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_error_follow.common.retail_none.opening_error_follow_display_get_no_opening.model,SvckyaInfoResponse,9,0,0,0,1,0,1,0,1,0
kaiheisen-app-ma-pod-error-follow,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_error_follow.common.retail_none.opening_error_follow_display_get_no_opening.model,KkytskrInfoResponse,6,0,0,0,1,0,1,0,1,0
kaiheisen-app-ma-pod-error-follow,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_error_follow.common.retail_none.opening_error_follow_display_get_no_opening.model,KiycstInfoResponse,15,0,0,0,1,0,1,0,1,0
kaiheisen-app-ma-pod-error-follow,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_error_follow.common.retail_none.opening_error_follow_display_get_no_opening.model,TatemonInfoResponse,15,0,0,0,1,0,1,0,1,0
kaiheisen-app-ma-pod-error-follow,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_error_follow.common.retail_none.opening_error_follow_display_get_no_opening.model,GmtInfoResponse,6,0,0,0,1,0,1,0,1,0
kaiheisen-app-ma-pod-error-follow,jp.co.tokyo_gas.kaiheisen.apps.ma.v1.pod_error_follow.common.retail_common.closing_register,ClosingRegisterResource,0,998,0,62,0,254,0,47,0,16
kaiheisen-app-ma-pod-error-follow,jp.co.tokyo_gas.kaiheisen.apps.ma.v1.pod_error_follow.common.retail_common.closing_error_follow_detail_get,ClosingErrorFollowDetailGetResource,0,721,0,38,0,201,0,40,0,21
kaiheisen-app-ma-pod-error-follow,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_error_follow.retail.retail_common.opening_error_follow_update.model,GmtInfoRequest,0,6,0,0,0,1,0,1,0,1
kaiheisen-app-ma-pod-error-follow,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_error_follow.retail.retail_common.opening_error_follow_update.model,HtiJsInfoRequest,0,48,0,0,0,1,0,1,0,1
kaiheisen-app-ma-pod-error-follow,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_error_follow.retail.retail_common.opening_error_follow_update.model,KnsKkaInfoRequest,0,6,0,0,0,1,0,1,0,1
kaiheisen-app-ma-pod-error-follow,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_error_follow.retail.retail_common.opening_error_follow_update.model,TsigJsInfoRequest,0,33,0,0,0,1,0,1,0,1
kaiheisen-app-ma-pod-error-follow,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_error_follow.retail.retail_common.opening_error_follow_update.model,KsenErrInfoRequest,0,18,0,0,0,1,0,1,0,1
kaiheisen-app-ma-pod-error-follow,jp.co.tokyo_gas.kaiheisen.apps.ma.v1.pod_error_follow.common.retail_tg.opening_error_follow_display_get_tg_retail,OpeningErrorFollowDisplayGetTgRetailResource,0,582,0,12,0,152,0,30,0,24
kaiheisen-app-ma-pod-error-follow,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_error_follow.common.retail_none.opening_error_follow_display_get_no_opening,OpeningErrorFollowDisplayGetNoOpeningResponse,33,0,0,0,1,0,1,0,1,0
kaiheisen-app-ma-pod-error-follow,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_error_follow.common.retail_none.opening_error_follow_display_get_no_opening,OpeningErrorFollowDisplayGetNoOpeningRequest,15,0,0,0,1,0,1,0,1,0
kaiheisen-app-ma-pod-error-follow,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_error_follow.common.retail_none.opening_error_follow_display_get_no_opening,OpeningErrorFollowDisplayGetNoOpeningEndpointContract,15,0,0,0,6,0,6,0,6,0
kaiheisen-app-ma-pod-error-follow,jp.co.tokyo_gas.kaiheisen.apps.ma.v1.pod_error_follow.common.retail_common.opening_error_follow_note_register,OpeningErrorFollowNoteRegisterResource,0,252,0,2,0,41,0,6,0,5
kaiheisen-app-ma-pod-error-follow,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_error_follow.common.retail_common.closing_error_follow_note_register,ClosingErrorFollowNoteRegisterEndpointContract,15,0,0,0,6,0,6,0,6,0
kaiheisen-app-ma-pod-error-follow,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_error_follow.common.retail_common.closing_error_follow_note_register,ClosingErrorFollowNoteRegisterRequest,0,33,0,0,0,1,0,1,0,1
kaiheisen-app-ma-pod-error-follow,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_error_follow.common.retail_common.closing_error_follow_note_register,ClosingErrorFollowNoteRegisterResponse,0,6,0,0,0,1,0,1,0,1
kaiheisen-app-ma-pod-error-follow,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_error_follow.common.retail_common.opening_error_follow_display_get,OpeningErrorFollowDisplayGetRequest,0,21,0,0,0,1,0,1,0,1
