GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
kaiheisen-app-ma-pod-opening,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_opening.retail.retail_other,OpeningCommonForceOtherRetailRequest.NewTelInf,0,30,0,0,0,1,0,1,0,1
kaiheisen-app-ma-pod-opening,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_opening.retail.retail_other,OpeningCommonForceOtherRetailRequest.TelnoUpdInf,0,9,0,0,0,1,0,1,0,1
kaiheisen-app-ma-pod-opening,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_opening.retail.retail_other,OpeningCommonForceOtherRetailRequest,0,129,0,0,0,1,0,1,0,1
kaiheisen-app-ma-pod-opening,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_opening.retail.retail_other,OpeningCommonForceOtherRetailResponse,0,15,0,0,0,1,0,1,0,1
kaiheisen-app-ma-pod-opening,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_opening.retail.retail_other,OpeningCommonForceOtherRetailEndpointContract,15,0,0,0,6,0,6,0,6,0
kaiheisen-app-ma-pod-opening,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_opening.pipeline.retail_common.opening_report_supply,OpeningReportSupplyEndpointContract,15,0,0,0,6,0,6,0,6,0
kaiheisen-app-ma-pod-opening,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_opening.pipeline.retail_common.opening_report_supply,OpeningReportSupplyResponse,0,27,0,0,0,1,0,1,0,1
kaiheisen-app-ma-pod-opening,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_opening.pipeline.retail_common.opening_report_supply,OpeningReportSupplyRequest,0,45,0,0,0,1,0,1,0,1
kaiheisen-app-ma-pod-opening,jp.co.tokyo_gas.kaiheisen.apps.ma.v1.pod_opening.common.retail_other,OpeningCommonNormalOtherRetailResource.OpeningCustomerNameInfo,0,30,0,0,0,1,0,1,0,1
kaiheisen-app-ma-pod-opening,jp.co.tokyo_gas.kaiheisen.apps.ma.v1.pod_opening.common.retail_other,OpeningCommonNormalOtherRetailResource,779,4679,349,467,249,1364,338,165,4,91
