GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
kaiheisen-app-ma-pod-other,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_other.retail.retail_other,LivalitOpeningWorkInfoGetOtherRetailResponse,0,150,0,0,0,1,0,1,0,1
kaiheisen-app-ma-pod-other,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_other.retail.retail_other,LivalitClosingWorkTicketInfoGetOtherRetailResponse,0,123,0,0,0,1,0,1,0,1
kaiheisen-app-ma-pod-other,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_other.retail.retail_other,LivalitClosingWorkTicketInfoGetOtherRetailEndpointContract,15,0,0,0,6,0,6,0,6,0
kaiheisen-app-ma-pod-other,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_other.retail.retail_other,LivalitClosingWorkTicketInfoGetOtherRetailRequest,18,21,0,0,6,1,6,1,6,1
kaiheisen-app-ma-pod-other,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_other.retail.retail_other,LivalitOpeningWorkInfoGetOtherRetailEndpointContract,15,0,0,0,6,0,6,0,6,0
kaiheisen-app-ma-pod-other,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_other.retail.retail_other,LivalitOpeningWorkInfoGetOtherRetailRequest,0,15,0,0,0,1,0,1,0,1
kaiheisen-app-ma-pod-other,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_other.retail.retail_tg.model,SvmstkrInfoResponse,0,6,0,0,0,1,0,1,0,1
kaiheisen-app-ma-pod-other,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_other.retail.retail_tg.model,SkinKnkkInfoResponse,0,6,0,0,0,1,0,1,0,1
kaiheisen-app-ma-pod-other,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_other.retail.retail_tg.model,MeterReadingInfoResponse,0,21,0,0,0,1,0,1,0,1
kaiheisen-app-ma-pod-other,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_other.retail.retail_tg.model,GasUsageFluctuationCheckResponse,0,12,0,0,0,1,0,1,0,1
kaiheisen-app-ma-pod-other,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_other.retail.retail_tg.model,SvckyaInfoResponse,0,15,0,0,0,1,0,1,0,1
kaiheisen-app-ma-pod-other,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_other.retail.retail_tg.model,KjnKnsKkaInfoResponse,0,6,0,0,0,1,0,1,0,1
kaiheisen-app-ma-pod-other,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_other.retail.retail_tg.model,GmtsetkInfoResponse,0,18,0,0,0,1,0,1,0,1
kaiheisen-app-ma-pod-other,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_other.retail.retail_tg.model,RelatedDedicatedMeterInfoResponse,0,9,0,0,0,1,0,1,0,1
kaiheisen-app-ma-pod-other,jp.co.tokyo_gas.kaiheisen.apps.ma.v1.pod_other.config,PodOtherDaConfiguration,740,0,0,0,87,0,83,0,83,0
kaiheisen-app-ma-pod-other,jp.co.tokyo_gas.kaiheisen.apps.ma.v1.pod_other.config,PodOtherSvConfiguration,501,243,0,0,45,23,40,23,40,23
kaiheisen-app-ma-pod-other,jp.co.tokyo_gas.kaiheisen.apps.ma.v1.pod_other.config,PodOtherSvConfiguration.new HeisenkannrenjiIdoujouhouTourokuCiriusRestClient() {...},4,0,0,0,2,0,2,0,2,0
kaiheisen-app-ma-pod-other,jp.co.tokyo_gas.kaiheisen.apps.ma.v1.pod_other.config,PodOtherStartupWarmupContributor,9,53,0,2,3,15,3,6,3,5
kaiheisen-app-ma-pod-other,jp.co.tokyo_gas.kaiheisen.apps.ma.v1.pod_other.config,PodOtherLibsConfiguration,0,9,0,0,0,3,0,3,0,3
kaiheisen-app-ma-pod-other,jp.co.tokyo_gas.kaiheisen.apps.ma.v1.pod_other.retail.retail_tg,LivalitClosingWorkTicketInfoGetResource,58,649,36,38,18,179,37,31,1,30
kaiheisen-app-ma-pod-other,jp.co.tokyo_gas.kaiheisen.apps.ma.v1.pod_other.retail.retail_tg,OnlineTerminateReportResource,1,65,1,3,1,15,1,6,0,5
kaiheisen-app-ma-pod-other,jp.co.tokyo_gas.kaiheisen.apps.ma.v1.pod_other.retail.retail_tg,OnlineTerminateReportProcessor,146,974,9,9,21,263,19,26,10,26
kaiheisen-app-ma-pod-other,jp.co.tokyo_gas.kaiheisen.apps.ma.v1.pod_other.retail.retail_tg,OnlineTerminateReportInfoGetResource,9,347,6,18,2,81,7,17,1,11
kaiheisen-app-ma-pod-other,jp.co.tokyo_gas.kaiheisen.apps.ma.v1.pod_other.retail.retail_tg,LivalitOpeningPayerInfoGetResource.ResolvedKanjiFlags,0,9,0,0,0,1,0,1,0,1
kaiheisen-app-ma-pod-other,jp.co.tokyo_gas.kaiheisen.apps.ma.v1.pod_other.retail.retail_tg,LivalitOpeningPayerInfoGetResource.PhoneSlot,0,43,0,0,0,2,0,2,0,2
kaiheisen-app-ma-pod-other,jp.co.tokyo_gas.kaiheisen.apps.ma.v1.pod_other.retail.retail_tg,LivalitOpeningWorkInfoGetResource.ServiceContractSupplementalInfo,0,19,0,0,0,2,0,2,0,2
kaiheisen-app-ma-pod-other,jp.co.tokyo_gas.kaiheisen.apps.ma.v1.pod_other.retail.retail_tg,LivalitOpeningWorkInfoGetResource,13,379,4,14,1,91,5,15,1,10
kaiheisen-app-ma-pod-other,jp.co.tokyo_gas.kaiheisen.apps.ma.v1.pod_other.retail.retail_tg,LivalitOpeningPayerInfoGetResource,58,600,20,40,16,148,21,27,1,17
kaiheisen-app-ma-pod-other,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_other.common.retail_common.retail_division,RetailDivisionRequest,15,18,0,0,5,1,5,1,5,1
kaiheisen-app-ma-pod-other,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_other.common.retail_common.retail_division,RetailDivisionResponse,0,15,0,0,0,1,0,1,0,1
kaiheisen-app-ma-pod-other,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_other.common.retail_common.retail_division,RetailDivisionEndpointContract,15,0,0,0,6,0,6,0,6,0
kaiheisen-app-ma-pod-other,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_other.retail.retail_tg,OnlineTerminateReportResponse,0,6,0,0,0,1,0,1,0,1
kaiheisen-app-ma-pod-other,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_other.retail.retail_tg,OnlineTerminateReportSvckyaInfoRequest,0,15,0,0,0,1,0,1,0,1
kaiheisen-app-ma-pod-other,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_other.retail.retail_tg,OnlineTerminateReportGmtsetkInfoRequest,0,9,0,0,0,1,0,1,0,1
kaiheisen-app-ma-pod-other,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_other.retail.retail_tg,LivalitOpeningPayerInfoGetPayerBuildingInfo,0,12,0,0,0,1,0,1,0,1
kaiheisen-app-ma-pod-other,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_other.retail.retail_tg,OnlineTerminateReportInfoGetEndpointContract,15,0,0,0,6,0,6,0,6,0
kaiheisen-app-ma-pod-other,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_other.retail.retail_tg,LivalitOpeningPayerInfoGetEndpointContract,15,0,0,0,6,0,6,0,6,0
kaiheisen-app-ma-pod-other,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_other.retail.retail_tg,LivalitOpeningPayerInfoGetPayerTelephoneEntry,0,30,0,0,0,1,0,1,0,1
kaiheisen-app-ma-pod-other,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_other.retail.retail_tg,LivalitOpeningWorkInfoGetResponse,0,150,0,0,0,1,0,1,0,1
kaiheisen-app-ma-pod-other,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_other.retail.retail_tg,LivalitOpeningWorkInfoGetEndpointContract,15,0,0,0,6,0,6,0,6,0
kaiheisen-app-ma-pod-other,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_other.retail.retail_tg,OnlineTerminateReportInfoGetRequest,0,15,0,0,0,1,0,1,0,1
kaiheisen-app-ma-pod-other,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_other.retail.retail_tg,OnlineTerminateReportSvmstkrInfoRequest,0,6,0,0,0,1,0,1,0,1
kaiheisen-app-ma-pod-other,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_other.retail.retail_tg,LivalitClosingWorkTicketInfoGetEndpointContract,15,0,0,0,6,0,6,0,6,0
kaiheisen-app-ma-pod-other,jp.co.tokyo_gas.kaiheisen.contracts.ma.v1.pod_other.retail.retail_tg,LivalitOpeningPayerInfoGetPayerTelephoneInfo,0,9,0,0,0,1,0,1,0,1
