GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
kaiheisen-integration-cirius-retail-edit-customer,jp.co.tokyo_gas.kaiheisen.libs.common.integration.cirius.retail.edit_customer,EditCustomerCiriusAdapter,9,512,3,65,2,40,4,36,1,5
kaiheisen-integration-cirius-retail-edit-customer,jp.co.tokyo_gas.kaiheisen.libs.common.integration.cirius.retail.edit_customer,EditCustomerPattern3,6,0,0,0,1,0,1,0,1,0
kaiheisen-integration-cirius-retail-edit-customer,jp.co.tokyo_gas.kaiheisen.libs.common.integration.cirius.retail.edit_customer,EditCustomerRequest.BeforeNameInfo,0,45,0,0,0,1,0,1,0,1
kaiheisen-integration-cirius-retail-edit-customer,jp.co.tokyo_gas.kaiheisen.libs.common.integration.cirius.retail.edit_customer,EditCustomerRequest,0,6,0,0,0,1,0,1,0,1
kaiheisen-integration-cirius-retail-edit-customer,jp.co.tokyo_gas.kaiheisen.libs.common.integration.cirius.retail.edit_customer,EditCustomerEditedNameInfo,6,0,0,0,1,0,1,0,1,0
kaiheisen-integration-cirius-retail-edit-customer,jp.co.tokyo_gas.kaiheisen.libs.common.integration.cirius.retail.edit_customer,EditCustomerResponse.Pattern4,0,15,0,0,0,1,0,1,0,1
kaiheisen-integration-cirius-retail-edit-customer,jp.co.tokyo_gas.kaiheisen.libs.common.integration.cirius.retail.edit_customer,EditCustomerResponse,143,134,44,22,40,32,42,13,11,11
kaiheisen-integration-cirius-retail-edit-customer,jp.co.tokyo_gas.kaiheisen.libs.common.integration.cirius.retail.edit_customer,EditCustomerResponse.EditedNameInfo,5,9,0,0,2,1,1,1,1,1
kaiheisen-integration-cirius-retail-edit-customer,jp.co.tokyo_gas.kaiheisen.libs.common.integration.cirius.retail.edit_customer,EditCustomerRequest.BeforeAddressInfo,0,71,0,0,0,2,0,2,0,2
kaiheisen-integration-cirius-retail-edit-customer,jp.co.tokyo_gas.kaiheisen.libs.common.integration.cirius.retail.edit_customer,EditCustomerResponse.ResponseBody,0,14,0,0,0,3,0,2,0,2
kaiheisen-integration-cirius-retail-edit-customer,jp.co.tokyo_gas.kaiheisen.libs.common.integration.cirius.retail.edit_customer,EditCustomerResponse.AddressBasicInfo,12,30,0,0,2,1,1,1,1,1
kaiheisen-integration-cirius-retail-edit-customer,jp.co.tokyo_gas.kaiheisen.libs.common.integration.cirius.retail.edit_customer,EditCustomerEditedCustomerInfo,6,0,0,0,1,0,1,0,1,0
kaiheisen-integration-cirius-retail-edit-customer,jp.co.tokyo_gas.kaiheisen.libs.common.integration.cirius.retail.edit_customer,EditCustomerRequest.BeforeCustomerInfo,0,9,0,0,0,1,0,1,0,1
kaiheisen-integration-cirius-retail-edit-customer,jp.co.tokyo_gas.kaiheisen.libs.common.integration.cirius.retail.edit_customer,EditCustomerResponse.EditedAddressInfo,0,6,0,0,0,1,0,1,0,1
kaiheisen-integration-cirius-retail-edit-customer,jp.co.tokyo_gas.kaiheisen.libs.common.integration.cirius.retail.edit_customer,EditCustomerResponse.Pattern3,0,27,0,0,0,1,0,1,0,1
