GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
kaiheisen-dataaccess-core,jp.co.tokyo_gas.kaiheisen.libs.da.core.processor,DataAccessAnnotationProcessor,141,0,18,0,33,0,14,0,5,0
kaiheisen-dataaccess-core,jp.co.tokyo_gas.kaiheisen.libs.da.core,WriteColumnResolver,80,66,10,6,15,18,8,4,1,3
kaiheisen-dataaccess-core,jp.co.tokyo_gas.kaiheisen.libs.da.core,CiriusAuditColumn,79,0,2,0,16,0,5,0,4,0
kaiheisen-dataaccess-core,jp.co.tokyo_gas.kaiheisen.libs.da.core,AuditColumnPolicy,0,43,0,0,0,9,0,6,0,6
kaiheisen-dataaccess-core,jp.co.tokyo_gas.kaiheisen.libs.da.core,NcisSubsetAuditColumn,53,0,2,0,13,0,5,0,4,0
kaiheisen-dataaccess-core,jp.co.tokyo_gas.kaiheisen.libs.da.core,AuditColumnRule,10,61,3,3,2,13,3,4,0,4
kaiheisen-dataaccess-core,jp.co.tokyo_gas.kaiheisen.libs.da.core,DataAccessPhaseRecorder.Scope,0,4,0,0,0,2,0,2,0,2
kaiheisen-dataaccess-core,jp.co.tokyo_gas.kaiheisen.libs.da.core,AuditColumnValueSlot,0,51,0,0,0,9,0,1,0,1
kaiheisen-dataaccess-core,jp.co.tokyo_gas.kaiheisen.libs.da.core,DefaultTableWriteDefinition,0,145,0,0,0,31,0,14,0,14
kaiheisen-dataaccess-core,jp.co.tokyo_gas.kaiheisen.libs.da.core,ReflectiveValueExtractors,10,147,3,11,4,27,3,8,0,4
kaiheisen-dataaccess-core,jp.co.tokyo_gas.kaiheisen.libs.da.core,AuditColumnPattern,0,93,0,0,0,26,0,7,0,7
kaiheisen-dataaccess-core,jp.co.tokyo_gas.kaiheisen.libs.da.core,NcisCisAuditColumnAutoSetter,5,142,2,4,1,35,2,10,0,9
kaiheisen-dataaccess-core,jp.co.tokyo_gas.kaiheisen.libs.da.core,SqlCapture,14,12,4,0,4,2,3,2,1,2
kaiheisen-dataaccess-core,jp.co.tokyo_gas.kaiheisen.libs.da.core,DataAccessBase,3,0,0,0,2,0,1,0,1,0
kaiheisen-dataaccess-core,jp.co.tokyo_gas.kaiheisen.libs.da.core,WhereParamGuard,0,30,0,4,0,6,0,5,0,3
kaiheisen-dataaccess-core,jp.co.tokyo_gas.kaiheisen.libs.da.core,DataAccessPhaseRecorder,17,209,4,16,10,54,4,15,0,9
kaiheisen-dataaccess-core,jp.co.tokyo_gas.kaiheisen.libs.da.core,AuditContext,0,39,0,6,0,9,0,6,0,3
kaiheisen-dataaccess-core,jp.co.tokyo_gas.kaiheisen.libs.da.core,DefaultTableWriteDefinition.new DefaultTableWriteDefinition.AuditColumnEnum() {...},16,3,0,0,6,1,2,1,2,1
kaiheisen-dataaccess-core,jp.co.tokyo_gas.kaiheisen.libs.da.core,DefaultTableWriteDefinition.new DefaultTableWriteDefinition.AuditColumnEnum() {...},16,3,0,0,6,1,2,1,2,1
kaiheisen-dataaccess-core,jp.co.tokyo_gas.kaiheisen.libs.da.core,DefaultTableWriteDefinition.new DefaultTableWriteDefinition.AuditColumnEnum() {...},0,19,0,0,0,7,0,3,0,3
kaiheisen-dataaccess-core,jp.co.tokyo_gas.kaiheisen.libs.da.core,NcisCisAuditColumn,3,77,0,2,1,15,1,4,1,3
kaiheisen-dataaccess-core,jp.co.tokyo_gas.kaiheisen.libs.da.core,MapBackedAuditColumnAccess,6,48,1,1,1,11,1,4,0,4
kaiheisen-dataaccess-core,jp.co.tokyo_gas.kaiheisen.libs.da.core,FixedLengthFormatter,0,173,0,42,0,49,0,26,0,5
kaiheisen-dataaccess-core,jp.co.tokyo_gas.kaiheisen.libs.da.core,CommonDataAccessLogger,10,13,0,0,3,4,3,2,3,2
kaiheisen-dataaccess-core,jp.co.tokyo_gas.kaiheisen.libs.da.core,DataAccessPhaseRecorder.State,0,21,0,0,0,1,0,1,0,1
kaiheisen-dataaccess-core,jp.co.tokyo_gas.kaiheisen.libs.da.core,DataAccessProxyFactory,68,470,7,38,20,127,7,35,0,19
kaiheisen-dataaccess-core,jp.co.tokyo_gas.kaiheisen.libs.da.core,AuditColumnValueResolvers,0,92,0,7,0,18,0,10,0,4
kaiheisen-dataaccess-core,jp.co.tokyo_gas.kaiheisen.libs.da.core,JbossCommonDataAccessLogger,42,0,0,0,14,0,6,0,6,0
kaiheisen-dataaccess-core,jp.co.tokyo_gas.kaiheisen.libs.da.core,DataAccessProxyFactory.Measurement,0,31,0,0,0,3,0,3,0,3
kaiheisen-dataaccess-core,jp.co.tokyo_gas.kaiheisen.libs.da.core,CiriusAuditColumnAutoSetter,0,81,0,2,0,21,0,5,0,4
kaiheisen-dataaccess-core,jp.co.tokyo_gas.kaiheisen.libs.da.core,AuditColumnPolicyApplier,9,106,1,7,3,22,3,11,2,8
kaiheisen-dataaccess-core,jp.co.tokyo_gas.kaiheisen.libs.da.core,DataAccessWriteOperation,0,15,0,0,0,3,0,1,0,1
kaiheisen-dataaccess-core,jp.co.tokyo_gas.kaiheisen.libs.da.core,DataAccessCallSpec,10,0,0,0,3,0,1,0,1,0
kaiheisen-dataaccess-core,jp.co.tokyo_gas.kaiheisen.libs.da.core,CommonDataAccessLogger.new CommonDataAccessLogger() {...},4,0,0,0,2,0,2,0,2,0
kaiheisen-dataaccess-core,jp.co.tokyo_gas.kaiheisen.libs.da.core,AuditColumnValueContext,0,24,0,0,0,1,0,1,0,1
