GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
kaiheisen-dataaccess-jpa-core,jp.co.tokyo_gas.kaiheisen.libs.da.jpa.core,JpaTargetColumnUpdateSupport,27,227,5,15,4,56,6,11,1,6
kaiheisen-dataaccess-jpa-core,jp.co.tokyo_gas.kaiheisen.libs.da.jpa.core,EntityColumnMetadataResolver.EntityColumnMetadata,36,50,6,6,10,14,4,7,0,5
kaiheisen-dataaccess-jpa-core,jp.co.tokyo_gas.kaiheisen.libs.da.jpa.core,JpaOptimisticDeleteSupport,45,121,7,7,5,31,11,4,4,4
kaiheisen-dataaccess-jpa-core,jp.co.tokyo_gas.kaiheisen.libs.da.jpa.core,EntityColumnMetadataResolver,1,73,2,6,1,15,2,5,0,3
kaiheisen-dataaccess-jpa-core,jp.co.tokyo_gas.kaiheisen.libs.da.jpa.core,PreparedNativeUpdate,41,195,5,11,8,45,4,22,1,17
kaiheisen-dataaccess-jpa-core,jp.co.tokyo_gas.kaiheisen.libs.da.jpa.core,DateConverter,0,30,0,6,0,8,0,6,0,3
kaiheisen-dataaccess-jpa-core,jp.co.tokyo_gas.kaiheisen.libs.da.jpa.core,ReflectiveRecordEntityMapper.FieldMapping,0,15,0,0,0,1,0,1,0,1
kaiheisen-dataaccess-jpa-core,jp.co.tokyo_gas.kaiheisen.libs.da.jpa.core,JpaDbWriteValues,4,28,0,0,1,7,1,7,1,7
kaiheisen-dataaccess-jpa-core,jp.co.tokyo_gas.kaiheisen.libs.da.jpa.core,JpaDbReadValues,4,24,0,0,1,6,1,6,1,6
kaiheisen-dataaccess-jpa-core,jp.co.tokyo_gas.kaiheisen.libs.da.jpa.core,JpaAuditColumnAccessBinder.new AuditColumnAccess() {...},6,33,1,1,1,7,1,3,0,3
kaiheisen-dataaccess-jpa-core,jp.co.tokyo_gas.kaiheisen.libs.da.jpa.core,JpaInsertSupport,6,154,0,2,1,35,2,8,2,7
kaiheisen-dataaccess-jpa-core,jp.co.tokyo_gas.kaiheisen.libs.da.jpa.core,JpaBind,0,24,0,0,0,5,0,2,0,2
kaiheisen-dataaccess-jpa-core,jp.co.tokyo_gas.kaiheisen.libs.da.jpa.core,PreparedWhere,3,62,1,1,0,14,1,6,0,6
kaiheisen-dataaccess-jpa-core,jp.co.tokyo_gas.kaiheisen.libs.da.jpa.core,ReflectiveRecordEntityMapper,172,381,52,46,38,82,41,31,8,15
kaiheisen-dataaccess-jpa-core,jp.co.tokyo_gas.kaiheisen.libs.da.jpa.core,JpaEntityWriteSupport,7,139,2,8,1,39,2,10,0,7
kaiheisen-dataaccess-jpa-core,jp.co.tokyo_gas.kaiheisen.libs.da.jpa.core,JpaAuditColumnAccessBinder,117,76,29,9,34,19,22,8,4,5
kaiheisen-dataaccess-jpa-core,jp.co.tokyo_gas.kaiheisen.libs.da.jpa.core,JpaWhere,0,219,0,0,0,41,0,16,0,16
kaiheisen-dataaccess-jpa-core,jp.co.tokyo_gas.kaiheisen.libs.da.jpa.core.converter,BigDecimalNullIfZeroLongConverter,0,21,0,4,0,7,0,4,0,2
kaiheisen-dataaccess-jpa-core,jp.co.tokyo_gas.kaiheisen.libs.da.jpa.core.converter,LongBigDecimalConverter,0,13,0,2,0,4,0,3,0,2
kaiheisen-dataaccess-jpa-core,jp.co.tokyo_gas.kaiheisen.libs.da.jpa.core.converter,BigDecimalLocalTimeConverter,0,87,1,13,0,21,1,8,0,2
kaiheisen-dataaccess-jpa-core,jp.co.tokyo_gas.kaiheisen.libs.da.jpa.core.converter,BigDecimalYearMonthConverter,0,31,0,4,0,11,0,4,0,2
